"Type","Age","Calcium","Chromium","Copper","Fluoride","Iodine","Iron","Magnesium","Manganese","Molybdenum","Phosphorus","Selenium","Zinc","Potassium","Sodium","Chloride"
"","0","210","0.2","200","0.01","110","0.27","30","0.003","2","100","15","2","0.4","0.12","0.18"
"","0.58","270","5.5","220","0.5","130","11","75","0.6","3","275","20","3","0.7","0.37","0.57"
"","1","500","11","340","0.7","90","7","80","1.2","17","460","20","3","3.0","1.0","1.5"
"","4","800","15","440","1","90","10","130","1.5","22","500","30","5","3.8","1.2","1.9"
"Male","9","1300","25","700","2","120","8","240","1.9","34","1250","40","8","4.5","1.5","2.3"
"Male","14","1300","35","890","3","150","11","410","2.2","43","1250","55","11","4.7","1.5","2.3"
"Male","19","1000","35","900","4","150","8","400","2.3","45","700","55","11","4.7","1.5","2.3"
"Male","31","1000","35","900","4","150","8","420","2.3","45","700","55","11","4.7","1.5","2.3"
"Male","51","1200","30","900","4","150","8","420","2.3","45","700","55","11","4.7","1.3","2.0"
"Male","70","1200","30","900","4","150","8","420","2.3","45","700","55","11","4.7","1.2","1.8"
"Female","9","1300","21","700","2","120","8","240","1.6","34","1250","40","8","4.5","1.5","2.3"
"Female","14","1300","24","890","3","150","15","360","1.6","43","1250","55","9","4.7","1.5","2.3"
"Female","19","1000","25","900","3","150","18","310","1.8","45","700","55","8","4.7","1.5","2.3"
"Female","31","1000","25","900","3","150","18","320","1.8","45","700","55","8","4.7","1.5","2.3"
"Female","51","1200","20","900","3","150","8","320","1.8","45","700","55","8","4.7","1.3","2.0"
"Female","70","1200","20","900","3","150","8","320","1.8","45","700","55","8","4.7","1.2","1.8"
"Pregnancy","14","1300","29","1000","3","220","27","400","2.0","50","1250","60","12","4.7","1.5","2.3"
"Pregnancy","19","1000","30","1000","3","220","27","350","2.0","50","700","60","11","4.7","1.5","2.3"
"Pregnancy","31","1000","30","1000","3","220","27","360","2.0","50","700","60","11","4.7","1.5","2.3"
"Lactation","14","1300","44","1300","3","290","10","360","2.6","50","1250","70","13","5.1","1.5","2.3"
"Lactation","19","1000","45","1300","3","290","9","310","2.6","50","700","70","12","5.1","1.5","2.3"
"Lactation","31","1000","45","1300","3","290","9","320","2.6","50","700","70","12","5.1","1.5","2.3"
"Units", "Years","MG","UG","UG","MG","UG","MG","MG","MG","UG","MG","UG","MG","G","G","G"
