"Type","Age","Vitamin_A","Vitamin_C","Vitamin_D","Vitamin_E","Vitamin_K","Thiamin","Riboflavin","Niacin","Vitamin_B6","Folate","Vitamin_B12","Pantothenic_Acid","Biotin","Choline"
"","0","400","40","5","4","2.0","0.2","0.3","2","0.1","65","0.4","1.7","5","125"
"","0.58","500","50","5","5","2.5","0.3","0.4","4","0.3","80","0.5","1.8","6","150"
"","1","300","15","5","6","30","0.5","0.5","6","0.5","150","0.9","2","8","200"
"","4","400","25","5","7","55","0.6","0.6","8","0.6","200","1.2","3","12","250"
"Male","9","600","45","5","11","60","0.9","0.9","12","1.0","300","1.8","4","20","375"
"Male","14","900","75","5","15","75","1.2","1.3","16","1.3","400","2.4","5","25","550"
"Male","19","900","90","5","15","120","1.2","1.3","16","1.3","400","2.4","5","30","550"
"Male","31","900","90","5","15","120","1.2","1.3","16","1.3","400","2.4","5","30","550"
"Male","51","900","90","10","15","120","1.2","1.3","16","1.7","400","2.4","5","30","550"
"Male","70","900","90","15","15","120","1.2","1.3","16","1.7","400","2.4","5","30","550"
"Female","9","600","45","5","11","60","0.9","0.9","12","1.0","300","1.8","4","20","375"
"Female","14","700","65","5","15","75","1.0","1.0","14","1.2","400","2.4","5","25","400"
"Female","19","700","75","5","15","90","1.1","1.1","14","1.3","400","2.4","5","30","425"
"Female","31","700","75","5","15","90","1.1","1.1","14","1.3","400","2.4","5","30","425"
"Female","51","700","75","10","15","90","1.1","1.1","14","1.5","400","2.4","5","30","425"
"Female","70","700","75","15","15","90","1.1","1.1","14","1.5","400","2.4","5","30","425"
"Pregnancy","14","750","80","5","15","75","1.4","1.4","18","1.9","600","2.6","6","30","450"
"Pregnancy","19","770","85","5","15","90","1.4","1.4","18","1.9","600","2.6","6","30","450"
"Pregnancy","31","770","85","5","15","90","1.4","1.4","18","1.9","600","2.6","6","30","450"
"Lactation","14","1200","115","5","19","75","1.4","1.6","17","2.0","500","2.8","7","35","550"
"Lactation","19","1300","120","5","19","90","1.4","1.6","17","2.0","500","2.8","7","35","550"
"Lactation","31","1300","120","5","19","90","1.4","1.6","17","2.0","500","2.8","7","35","550"
"Units","Years","UG","MG","UG","MG","UG","MG","MG","MG","MG","UG","UG","MG","UG","MG"
