"Type","Age","Vitamin_A","Vitamin_C","Vitamin_D","Vitamin_E","Vitamin_K","Thiamin","Riboflavin","Niacin","Vitamin_B6","Folate","Vitamin_B12","Pantothenic_Acid","Biotin","Choline"
"","0","600","","25","","","","","","","","","","",""
"","0.58","600","","25","","","","","","","","","","",""
"","1","600","400","50","200","","","","10","30","300","","","","1.0"
"","4","900","650","50","300","","","","15","40","400","","","","1.0"
"","9","1700","1200","50","600","","","","20","60","600","","","","2.0"
"","14","2800","1800","50","800","","","","30","80","800","","","","3.0"
"","19","3000","2000","50","1000","","","","35","100","1000","","","","3.5"
"","70","3000","2000","50","1000","","","","35","100","1000","","","","3.5"
"Pregnancy","14","2800","1800","50","800","","","","30","80","800","","","","3.0"
"Pregnancy","19","3000","2000","50","1000","","","","35","100","1000","","","","3.5"
"Lactation","14","2800","1800","50","800","","","","30","80","800","","","","3.0"
"Lactation","19","3000","2000","50","1000","","","","35","100","1000","","","","3.5"
"Units","Years","UG","MG","UG","MG","UG","MG","MG","MG","MG","UG","UG","MG","UG","G"
